No,Weight (g),Roundness,Upper Petal,Lower Petal,Max Frequency (Hz),Max Magnitude,Sweetness (%Brix),Class
,53.92033968052438,0.927,,5.0,101.5751972123447,29.875752378255356,15.98517984072074,
,65.14298245396107,0.936,,7.0,182.1035910491918,79.00408803415418,21.5650205682365,
,60.606926523253556,0.963,,5.0,130.27575844326722,82.28977402380103,17.041514195401234,
,66.89174283736163,0.938,,7.0,162.86633215133904,25.894108309211905,17.809980685376694,
,45.94417955206548,0.968,,7.0,101.65892012982285,38.96323374208878,21.21344520633378,
,97.91819577911185,0.935,,7.0,183.66645352398027,43.7218638551606,18.535658638342742,
,53.43271982697501,0.976,,7.0,128.2584532113349,71.89771538805797,20.63728904784892,
,81.73540270748178,0.959,,7.0,176.91607849091827,54.48631070919861,17.458445953233042,
,60.09351007772958,0.924,,7.0,72.48155499164106,13.584694275474348,11.033938667830588,
,79.90195973658993,0.962,,7.0,176.76545420262983,54.940539492284195,16.24666840025428,
,45.280486512081595,0.973,,5.0,127.2217294580929,18.529153791028758,19.259736973520962,
,55.46401542076153,0.952,,7.0,103.11243247026977,27.73946796669442,17.215881196511944,
,60.32693561750834,0.97,,5.0,97.99890487155483,37.3247682052261,19.542336264571393,
,62.77499186079061,0.973,,6.0,132.5722493275566,85.44334197268338,17.048163867112148,
,57.75306673296321,0.979,,7.0,134.6648328506208,24.704595302660934,14.042729196404496,
,72.82017900714749,0.947,,6.0,104.12148463081418,29.119545510023954,12.707033407219065,
,73.13632339574269,0.943,,5.0,97.51573716351174,24.303462974194904,13.911103272372106,
,52.712387620685845,0.974,,6.0,101.03021293062884,46.96060019699898,17.413705085689806,
,89.88899439526696,0.98,,5.0,125.36001217876328,66.61960704988775,26.292488722116108,
,46.96813625757355,0.919,,7.0,103.79846241286222,46.280485235352224,18.3927258933771,
,43.48417500173078,0.978,,6.0,132.19643255594283,15.035961166203194,21.454555082723537,
,53.313203285428294,0.931,,5.0,75.64777628956394,18.974525472920018,14.904772405063097,
,45.81680475286427,0.976,,5.0,206.63830562704837,20.912336107704245,21.142968000556706,
,64.13845431627867,0.921,,7.0,100.74401125116187,37.748247656321944,17.571896641921157,
,91.64229754916981,0.95,,7.0,73.04662830025292,40.87781316888508,19.035379154995262,
,49.89289419438645,0.924,,5.0,101.17671141495002,70.28357546696628,19.92589150842896,
,77.23683288928721,0.954,,7.0,177.1011287750775,47.37099476843638,24.44630721510583,
,75.61484681875079,0.942,,5.0,131.08919883683967,31.992404676064538,20.257964734801075,
,51.59147288187291,0.949,,7.0,95.61682985590798,33.82923759240028,17.301310258679575,
,66.14593432832135,0.958,,6.0,178.3754633542685,80.3022672327605,21.023419164586556,
,80.99827265073151,0.933,,6.0,126.02103943109418,79.2655894691847,23.54727409008864,
,60.97246256046487,0.955,,6.0,132.62168897133296,13.421912339395691,16.445578067682394,
,52.62057013587781,0.959,,7.0,259.70766983603505,28.499464107789336,19.926060704615608,
,44.09504926574148,0.965,,5.0,101.63093323097569,37.54605845060599,21.994918289584195,
,53.47906142385182,0.947,,5.0,209.11760908663862,17.846802001705008,16.94689836659786,
,49.70875488412118,0.953,,7.0,102.97016878046124,30.730253733000765,19.57073896745587,
,45.1100881238168,0.955,,5.0,102.16379763733262,46.51351988181916,17.689132747018277,
,65.5130066230235,0.978,,5.0,181.07915925557214,82.01690906369072,21.11239371273035,
,42.941843871171926,0.975,,6.0,102.96657827949457,37.04061363150045,19.78998551700921,
,99.09217402469153,0.97,,6.0,188.82925759449657,41.68108182109764,24.660616352223695,
,95.80840457837262,0.962,,6.0,185.52866348507987,41.01205943363042,20.178530982940877,
,62.508411816908925,0.945,,7.0,74.64178733444709,13.965337775769564,18.02017965960538,
,61.07505179033232,0.957,,7.0,166.87935962384555,23.542841195904785,16.681856850132238,
,60.47157045501027,0.949,,5.0,168.07183666442356,20.331788508018363,10.868414551774183,
,40.34479414906168,0.976,,6.0,100.85832401545845,33.90850555093105,22.45559041500168,
,76.15217186423514,0.938,,5.0,179.26121803508534,45.893032417907435,25.061530288647766,
,74.44370135492542,0.957,,5.0,173.48725859902058,97.34840276995355,24.898789082229527,
,47.45465809582879,0.928,,7.0,129.33643640468551,19.873452263711094,15.787509918694012,
,47.91509303267138,0.942,,6.0,73.06558300454505,30.76620262796846,20.474122186957842,
,49.3992287405225,0.918,,5.0,103.93854822273376,68.15636003261622,18.33322699131281,
,52.24859428783503,0.923,,6.0,100.90897676674219,64.38202373538336,18.690104625379707,
,67.47191959420702,0.937,,5.0,180.34786977183833,84.58969760850127,18.50549198759071,
,54.51724748720047,0.949,,7.0,148.53931230474774,12.565107876144873,18.886517714479698,
,78.26870228879662,0.98,,6.0,125.35468260228565,82.72745313805505,22.91315601128126,
,57.744884428693624,0.961,,6.0,138.17212073568822,20.439038079147124,18.773751503111875,
,55.114130314816606,0.941,,6.0,100.67274018191522,22.866306150614005,13.102140473298839,
,57.48516041796246,0.926,,7.0,130.53309271607083,27.391809440361392,13.41383949855447,
,60.312719520875326,0.919,,6.0,96.39177047606535,27.12726144790087,17.739413254648824,
,97.99441829104323,0.927,,5.0,183.7608667999173,46.76844063302279,17.385778131085655,
,56.35652580713233,0.921,,6.0,132.64493618251123,21.969701392569704,16.45906877877219,
,46.655329482464005,0.966,,6.0,100.41554991709366,38.512479198620305,19.330587601075266,
,62.73216317692703,0.948,,5.0,103.6019967398757,28.488063107821063,18.584803689236423,
,57.26962403691579,0.946,,5.0,103.56133257460182,31.4790339057279,14.950312680915637,
,55.995569633560955,0.932,,5.0,95.75320778526957,28.274126891853165,17.128424518501557,
,51.30325234929812,0.968,,5.0,172.0803592250674,18.442262493641625,18.94534465351783,
,49.13159410677218,0.936,,6.0,97.78793332774028,39.58977473573682,21.20937430510228,
,70.36540004194147,0.973,,7.0,77.83126354279972,68.50837374111698,17.196039852063652,
,86.32942853364827,0.94,,7.0,125.68737533486271,65.99859452786825,22.312585684120542,
,45.1975509854292,0.95,,5.0,131.19027193467778,13.509450005474502,21.997643777834394,
,50.86017746836044,0.931,,5.0,264.00735210073304,31.212799786376404,22.037824027001502,
,58.74907545655163,0.961,,5.0,92.68288876367095,47.90095070366419,15.51749089421052,
,61.959099965839094,0.932,,5.0,76.26377149605868,16.119629451311635,14.694797407239307,
,53.55463269773068,0.953,,5.0,167.30083219271103,18.845358230779127,16.038100481317162,
,54.160528053945015,0.914,,7.0,75.45414985234613,30.163348616082853,20.368587621305544,
,54.90064332299117,0.968,,7.0,95.6291222986553,27.727018363861035,15.119458045547745,
,51.56610159409595,0.97,,6.0,145.65895788807512,15.116091447605996,16.89974110016097,
,56.87977279912679,0.947,,7.0,97.30268477928836,43.098874776040304,16.128979655207964,
,55.15396419808561,0.981,,5.0,133.53897369457073,24.45145764192226,19.006444034285323,
,52.19307128697178,0.934,,5.0,96.38741195463017,15.03366004507367,16.313421306020324,
,46.82535644056973,0.919,,7.0,130.5522634792086,22.98790940279528,18.181129697672333,
,46.49054697119335,0.937,,6.0,261.8250636699087,28.541141515171837,22.52800094027073,
,55.337608632744754,0.936,,5.0,104.48555134933554,24.49645146857123,12.884938510127473,
,56.96751185928737,0.967,,5.0,101.65944757185788,29.183281309603345,13.314814583042057,
,56.956206190180325,0.962,,6.0,132.50697126865865,19.991888968613853,22.280086327423337,
,78.2796046236982,0.932,,5.0,126.56764887656986,84.1735525351164,20.05975934006752,
,56.87541552245955,0.948,,7.0,101.12537355147077,25.103044885676212,15.31172281874378,
,100.70588702733248,0.952,,5.0,185.00839795537385,42.06511778764793,20.564529292938303,
,95.09789072606551,0.916,,6.0,74.93657355940726,39.67050461880522,15.99049795672019,
,47.80375716224641,0.951,,5.0,207.31149961830403,17.885499190713045,22.903454563391175,
,82.37065889070982,0.929,,7.0,103.52318245097429,36.86821105970932,15.770070601543297,
,55.475305733640525,0.94,,5.0,104.49851986469227,29.88410874916473,19.053711886753458,
,56.21702328743427,0.96,,6.0,173.43703232904826,18.91841532773094,13.747633608447822,
,46.42087736404462,0.929,,5.0,97.87204477247558,36.2450986093231,18.323704164464502,
,66.52169339549492,0.971,,5.0,120.9816149502886,18.62229087125758,16.48101123097833,
,62.38412336702697,0.916,,6.0,126.96257573167809,81.19715429284598,17.603390303990473,
,54.24932730466291,0.937,,5.0,132.84264291423548,20.020635825784716,21.698027401406563,
,58.2804961146183,0.917,,6.0,94.4850588358909,36.958460027658106,14.9721524103489,
,62.913878701503926,0.927,,7.0,69.80789372068931,50.19595632658925,19.93113359285555,
,54.612006339142724,0.927,,5.0,99.86111446875881,17.97985355961181,17.26189315153877,
,51.99205225186932,0.925,,7.0,76.56492196121933,30.94674791572344,16.189568120597585,
,61.42463059671975,0.967,,6.0,178.72565653100762,80.01871692596174,17.669209935695946,
,41.013951645724404,0.94,,7.0,132.81727113435034,23.32035002788511,17.52688904215461,
,52.74508011451057,0.942,,6.0,137.62082418734246,16.99483357896306,23.625208313301947,
,56.904968410207914,0.947,,7.0,96.23009569086179,54.40639060179833,17.6387710708985,
,61.549660667909684,0.981,,5.0,138.54725808362616,24.64733389416479,17.875355913888107,
,62.641827621793084,0.969,,5.0,97.97286397569557,38.0070512660771,19.994371816437994,
,58.93575164819035,0.957,,5.0,172.86323902988659,17.491514991193927,17.000388403481278,
,56.362118479216115,0.937,,6.0,162.71575793274343,82.16215507045973,19.658469871421453,
,62.24175799336915,0.94,,5.0,181.0770423124777,78.58627134304771,19.046079792653153,
,50.37905454697585,0.955,,5.0,259.88562733489806,31.521165383695156,22.766405242004677,
,49.534956622476734,0.946,,7.0,100.81048908002525,38.901103261551775,23.314343888624034,
,61.338671523226594,0.924,,6.0,96.07826683030186,26.514361703963854,17.315495601376227,
,82.19415126618442,0.949,,6.0,173.9051187908568,54.65441315197573,15.306612133101076,
,44.42728242946976,0.929,,5.0,103.55068804299006,42.41155954695432,24.074841630850802,
,78.20626955902254,0.942,,5.0,172.8597278586025,44.903930011063004,23.107462997109117,
,69.01680860603157,0.954,,5.0,77.2264331782797,73.30070752048348,15.807405869232436,
,66.72856040026583,0.948,,5.0,178.68304272776112,82.9516096718834,20.82240142924997,
,59.14192482839998,0.919,,7.0,140.6119094858953,67.24032305434848,20.660514433544066,
,56.94774497614633,0.931,,5.0,76.04483521837986,16.51213023666621,17.90046664257449,
,80.98791774748952,0.946,,7.0,134.85849580402515,24.47954600301851,15.7738788140465,
,80.0356530269801,0.954,,6.0,121.65582842646182,81.23527531050178,19.845542870470272,
,56.30603797452237,0.951,,7.0,175.14582386834684,22.35767001112642,11.84260314892371,
,56.66901005643246,0.97,,5.0,97.8432283901105,18.21938206029611,16.92809140908275,
,52.579815261170154,0.943,,5.0,149.54270921866367,17.087752262964095,17.701294801459735,
,43.96172619352331,0.959,,7.0,102.67762688957357,30.02330509489936,24.98311785261978,
,58.435000529386144,0.941,,7.0,99.86110004807425,14.653444818213197,13.718173645073033,
,81.51882889088031,0.963,,6.0,125.04545682881086,89.55713902896741,20.350463569850383,
,51.17310052389513,0.919,,6.0,99.12413935077345,26.970634825183325,13.911067672216568,
,60.79990232043348,0.959,,5.0,94.7921799226936,25.206441993327466,17.632363601209427,
,56.630755893926846,0.95,,7.0,101.55348595693498,25.03832126522975,15.718447432964503,
,52.306307691094126,0.922,,5.0,144.63982129926026,67.14789989709429,20.690569953660102,
,56.83162584527043,0.98,,5.0,92.351118116979,32.125688442072025,15.163159558735193,
,66.88690190219198,0.967,,7.0,97.99391178172797,25.963460290533963,15.132717068016465,
,52.211716242489345,0.976,,7.0,167.86840791769097,19.242013357495363,12.597781355961027,
,42.064077444513046,0.967,,6.0,98.86670112808453,36.57180814576371,19.566692144739235,
,51.88632307086319,0.956,,7.0,171.58879917656998,26.70707273481971,16.34630361377448,
,54.235478143327704,0.922,,5.0,97.70845017757941,29.04972218826184,17.20412187555197,
,82.93419926860648,0.98,,6.0,128.61448804113598,35.82474177896306,18.948961499881243,
,79.73830896502525,0.933,,5.0,137.504001560067,23.569998141952116,15.857223440127102,
,59.063193077055146,0.965,,7.0,100.73971488677266,31.38692960003199,19.13276216672829,
,61.86015123225807,0.968,,7.0,95.24471517860157,38.063221169769314,15.64289446775434,
,57.77644267978987,0.943,,6.0,135.80432883819307,17.735245105915155,14.305342554577093,
,58.19772600201469,0.973,,7.0,100.95191854638792,51.26399400711479,15.953230428270858,
,56.76102759210627,0.927,,5.0,99.6141328048247,17.65128541081942,14.235614344072221,
,57.11682804258024,0.945,,6.0,142.0240546578505,64.52298936496956,21.03374020376172,
,59.77375888928787,0.974,,6.0,73.2164726647863,50.44721841202926,16.318096812989044,
,48.169033191832334,0.938,,6.0,96.04884615823599,40.00195645449348,14.427166886504555,
,61.04759837616436,0.966,,6.0,174.05882373832426,79.3048614404981,16.03270618916305,
,57.512076503896125,0.934,,6.0,172.98849987461548,22.854143980526977,11.087597089280006,
,55.65946071146201,0.921,,6.0,131.62812567209616,31.117746087567074,11.560324433802293,
,55.38581839459894,0.922,,5.0,176.3456912933484,29.202356506399152,19.320095730664168,
,45.30335930505219,0.918,,6.0,131.89104138242593,22.904159960914676,17.717805905442276,
,47.8716323269913,0.954,,6.0,212.40639327084688,17.593512293851738,24.580540715246656,
,56.818219414505286,0.963,,6.0,169.6878211333043,20.83729095383306,12.108805816229973,
,51.08985017482429,0.976,,5.0,73.4839644346498,16.188169177367808,20.186813965129986,
,48.94986631849136,0.965,,5.0,73.39183949188418,33.738414531054204,17.967368654077806,
,52.705509565849894,0.98,,7.0,96.36429858890267,25.556966671082368,15.14952051668433,
,53.60113947665493,0.97,,6.0,128.24007530218339,72.84299293494313,21.625191513969757,
,45.950705756260795,0.98,,6.0,129.34394202229078,12.710659464830968,19.591577952732838,
,77.0359692999295,0.939,,6.0,129.5520115305914,30.20950004573205,22.624800208318657,
,81.16280638569552,0.919,,5.0,126.0845057924152,84.09676945981373,16.535060500045777,
,51.299539101813075,0.926,,7.0,96.31209174607922,28.874341349072026,10.58241684628633,
,53.71256068220865,0.92,,5.0,99.4351752056883,25.203368518024323,18.23985083782012,
,59.58905253688565,0.937,,7.0,131.49435400948926,42.00367992295196,22.55006538535033,
,61.82583745631629,0.968,,6.0,101.4323965913799,30.35572438584461,19.140326644626622,
,57.8939147159238,0.968,,5.0,95.13430462552596,26.514560801757476,16.632422561309454,
,95.16847984615372,0.966,,7.0,76.75482321501083,39.43273247731414,16.687519517147027,
,56.594931530335366,0.927,,6.0,77.40367186290213,16.159555881220825,18.785438641151963,
,62.42953613877184,0.921,,6.0,128.34565885473086,79.87860604317939,19.276357387161138,
,53.76099984190127,0.945,,5.0,95.15361828836708,29.460999952848514,13.348604298839682,
,47.516817249263454,0.972,,6.0,210.10746537190442,21.410258263402678,22.69761871617198,
,45.762995348391456,0.948,,7.0,97.63577896996074,35.24339225129708,21.470620025833345,
,51.96485088819577,0.929,,6.0,211.84397996981812,16.963448748874157,20.12809222080085,
,47.790984759053096,0.954,,6.0,262.70427942478784,31.172040423580047,26.049249632155814,
,99.7208211069084,0.919,,6.0,72.50233323879507,42.44679310744867,16.064989072931315,
,76.46862825291107,0.981,,7.0,174.59266699202934,93.35466268008982,20.322443286135623,
,52.54260726681021,0.917,,6.0,99.29738704749933,26.058412304817782,20.381129581451876,
,53.93775763513737,0.954,,7.0,100.9423274097199,49.60810380948435,14.976541697207741,
,57.059109818187366,0.922,,7.0,168.54197478619443,26.540851839886017,15.80551231589374,
,60.23253618233254,0.94,,7.0,101.16698414976916,24.006496909292743,16.532926204948875,
,73.28350123462212,0.975,,6.0,96.65040940623147,21.82843092980289,12.469181691173965,
,99.03510351511122,0.926,,5.0,74.4089950891932,37.85129655122043,13.341133310857417,
,48.287567436693706,0.975,,5.0,96.99765115371792,66.44743470746701,17.103248761549988,
,41.4571932524848,0.958,,6.0,99.01423790808265,32.49484773988173,19.180046451645083,
,44.33202792668581,0.93,,5.0,263.8905278219829,31.48504557184306,26.54590232933708,
,48.328177692698254,0.965,,7.0,71.21848479465376,34.16922489879798,18.159766346740412,
,64.74749121329903,0.936,,7.0,98.86617399150173,38.603480874355704,16.542910043587995,
,61.26073763523028,0.953,,7.0,175.25569243281194,21.24082310839771,15.344151511740137,
,51.11544246371554,0.962,,7.0,128.41889316285565,59.50954326148114,15.573491943678835,
,57.62164778373825,0.976,,7.0,146.0572469489844,17.02647753810451,21.858952238949186,
,54.455084189842346,0.974,,6.0,135.469204821686,21.07103681783792,21.99370861541494,
,58.15119424314239,0.951,,5.0,98.1996591516456,33.90077094084002,14.19597118666597,
,97.53497553667903,0.979,,5.0,78.11586631009114,38.666986368375234,16.204028015003214,
,88.40277840213805,0.97,,6.0,122.23620752877962,70.35071153892719,21.95773468002122,
,56.29646076920402,0.966,,5.0,96.77392729781397,28.348845410586552,16.234558594698974,
,53.58821192241661,0.931,,7.0,86.22685046340052,34.80161240331195,16.716809302062323,
,58.38940693042617,0.942,,5.0,170.35106608084925,22.3086279611366,14.25840607208353,
,55.40442259565003,0.931,,6.0,102.83491865342688,18.61741958804995,12.775767335293022,
,53.64251461368456,0.914,,7.0,160.0107900174279,89.87176641541157,21.145503491541227,
,62.43198319448646,0.948,,7.0,66.44020796718003,50.69196786413301,15.533075883153709,
